name	city	address	lat	lon	video_url	embed_url
Ch? C?n Th?	Can Tho	"136 ?. Hai Bà Tr?ng, Street, Ninh Ki?u, C?n Th?, Vi?t Nam"	10.03139042	105.7881185	https://www.tiktok.com/@quankhonggo/video/7261561488203140370	https://www.tiktok.com/embed/7261561488203140370
Ch? cá Th?t N?t	Can Tho	" ?. Nguy?n Thái H?c, TT. Th?t N?t, Th?t N?t, C?n Th?, Vi?t Nam"	10.27235739	105.5339734	https://www.tiktok.com/@cautucantho/video/7414280490137570577	https://www.tiktok.com/embed/7414280490137570577
Ch? n?i Cái R?ng	Can Tho	"An Bình, Ninh Ki?u, C?n Th?, Vi?t Nam"	10.00504928	105.7459813	https://www.tiktok.com/@huynh.phu.tien/video/7500061454234553607	https://www.tiktok.com/embed/7500061454234553607
Chùa Ông	Can Tho	"32 ?. Hai Bà Tr?ng, Tân An, Ninh Ki?u, C?n Th?, Vi?t Nam"	10.03419389	105.788497	https://www.tiktok.com/@myymtoiroi/video/7537488093767585032	https://www.tiktok.com/embed/7537488093767585032
Chùa Khmer Muni-Ransay	Can Tho	"36 ?. Hoà Bình, Tân An, Ninh Ki?u, C?n Th?, Vi?t Nam"	10.03371558	105.7838787	https://www.tiktok.com/@pka.champay/video/7503063441175760135	https://www.tiktok.com/embed/7503063441175760135
Nhà c? Bình Th?y	Can Tho	"144 ?. Bùi H?u Ngh?a, Bình Thu?, Bình Th?y, C?n Th?, Vi?t Nam"	10.06703143	105.7495848	https://www.tiktok.com/@tuyn.hadi/video/7572194142780968212	https://www.tiktok.com/embed/7572194142780968212
V??n cò B?ng L?ng	Can Tho	"Thu?n An, Th?t N?t, C?n Th?, Vi?t Nam"	10.28154181	105.5055158	https://www.tiktok.com/@noibuonkhongten.090899/video/7300773443585297682	https://www.tiktok.com/embed/7300773443585297682
Ch? T?nh Biên	An Giang Province	"Xuân Biên, T?nh Biên, An Giang, Vi?t Nam"	10.60598152	104.9446474	https://www.tiktok.com/@phuongoanh.daily/video/7486386096473935122	https://www.tiktok.com/embed/7486386096473935122
Ch? Châu ??c	An Giang Province	"44 Phan V?n Vàng, Châu Phú A, An Phú, An Giang, Vi?t Nam"	10.71081695	105.1184713	https://www.tiktok.com/@hieu.chudu/video/7576589021246180628	https://www.tiktok.com/embed/7576589021246180628
R?ng Tràm Trà S?	An Giang Province	"?p V?n Trà, V?n Giáo, T?nh Biên, An Giang 884000, Vi?t Nam"	10.58506408	105.057933	https://www.tiktok.com/@gowith_we/video/7421811356879310101	https://www.tiktok.com/embed/7421811356879310101
Chùa Tà P?	An Giang Province	"Núi Tô, Tri Tôn, An Giang, Vi?t Nam"	10.41516474	104.9927393	https://www.tiktok.com/@utnhanmientay/video/7401465434693766401	https://www.tiktok.com/embed/7401465434693766401
Mi?u Bà Chúa X?	An Giang Province	"925 Ph?m V?n B?ch Khóm, V?nh Tây 1, Châu ??c, An Giang, Vi?t Nam"	10.68214885	105.0802004	https://www.tiktok.com/@dolebachaudocminhnguyet/video/7493406578419191047	https://www.tiktok.com/embed/7493406578419191047
Chùa Hang	An Giang Province	"P. Núi Sam, Châu ??c, An Giang, Vi?t Nam"	10.67685463	105.0730917	https://www.tiktok.com/@angiangstory2024/video/7508707438665714951	https://www.tiktok.com/embed/7508707438665714951
C?ng tr?i Tri Tôn	An Giang Province	"Châu L?ng, Tri Tôn, An Giang, Vi?t Nam"	10.44802489	104.9702827	https://www.tiktok.com/@tungnuitravel/video/7510075318233877780	https://www.tiktok.com/embed/7510075318233877780
