province,shop_name,city,address,category,lat,lon
Da Nang,Le Le Cloth Shop,Hội An,Trần Hưng Đạo,department_store,15.8799838,108.3270879
Da Nang,Eli ClothShop & Tailor,Hội An,Trần Hưng Đạo,department_store,15.8799835,108.3270926
Da Nang,Shoping Mall,Hội An,Trần Hưng Đạo,department_store,15.8799817,108.327131
Da Nang,Cloth Shop Kim Nhung,Hội An,Trần Hưng Đạo,convenience,15.8799524,108.3263714
Da Nang,Nuni Cloth Shop And Tailor,Hội An,Trần Hưng Đạo,convenience,15.879954,108.326118
Da Nang,Wild Orchid Hoi An;Nuni Cloth Shop And Tailor,Hội An,Trần Hưng Đạo,convenience,15.8800145,108.3258375
Da Nang,BILL BEN TAILOR,Hội An,Trần Hưng Đạo,department_store,15.8797702,108.3277121
Da Nang,Bi Bo Design,Hội An,Trần Hưng Đạo,department_store,15.8799402,108.3276881
Da Nang,Blue Ms. Tam Tam,Hội An,Trần Hưng Đạo,department_store,15.8799424,108.3276506
Da Nang,Cloth Shop Faifoo,Hội An,Trần Hưng Đạo,department_store,15.8799453,108.3276016
Da Nang,Ha Na Tailor,Hội An,Trần Hưng Đạo,department_store,15.8799818,108.32739
Da Nang,White Pearl Apartment,Hội An,Lý Thái Tổ,,15.8875368,108.3324889
Da Nang,Hieu Vang,,Đường Điện Biên Phủ,jewelry,16.0653064,108.1849944
Da Nang,Thanh thanh son,,Nguyễn Văn Thoại,jewelry,16.0542642,108.2388558
Da Nang,Nhan Store,,Hai Bà Trưng,clothes,15.8790587,108.3267851
Da Nang,Hoa Quy Smart City,Phường Hòa Quý,,,15.9820688,108.2316545
Da Nang,Ao Ba Ba,,,,15.8771519,108.3273471
Da Nang,,,,clothes,15.879123,108.3287382
Da Nang,Gingko,,,clothes,15.8771475,108.3272241
Da Nang,nem dhop,,"lê duẩn,quận hải châu,tp đà nẵng",clothes,16.0041713,108.1912441
Da Nang,Ca Li Custom Made Tailor,,Phan Bội Châu,,15.8771786,108.334983
Da Nang,PNJ,,Đường Phan Châu Trinh,jewelry,16.0568883,108.2189191
Da Nang,PNJ,,,jewelry,16.060316,108.214332
Da Nang,PNJ,,,jewelry,16.066657,108.213055
Da Nang,PNJ,,,jewelry,16.0345972,108.2292457
Da Nang,PNJ,,,jewelry,16.067161,108.220262
Da Nang,PNJ,,,jewelry,16.065706,108.154721
Da Nang,PNJ,,,jewelry,16.0589243,108.2349282
Da Nang,PNJ,,,jewelry,16.0678837,108.2082142
Da Nang,PNJ,,,jewelry,16.067893,108.217157
Da Nang,WinMart+,,Văn Cận,convenience,16.0359348,108.2113715
Da Nang,WinMart+,,Đường Trần Cao Vân,convenience,16.0711179,108.1934343
Da Nang,WinMart+,,Đống Đa,convenience,16.0765484,108.215938
Da Nang,WinMart+,,Đường Tôn Đức Thắng,convenience,16.0638186,108.1573317
Da Nang,VinMart+,,Hà Chương,convenience,16.0653342,108.2445035
Da Nang,WinMart+,,Lê Hồng Phong,convenience,16.0641601,108.2193994
Da Nang,WinMart+,,Lê Văn Hiến,convenience,16.0179707,108.2530991
Da Nang,WinMart+,,Đường Hà Huy Tập,convenience,16.0676492,108.1918724
Da Nang,WinMart+,,Nguyễn Lương Bằng,convenience,16.0738602,108.1498215
Da Nang,WinMart+,,Trưng Nữ Vương,convenience,16.0535909,108.2187436
Da Nang,WinMart+,,Đường Trương Chí Cương,convenience,16.0311129,108.2241777
Da Nang,VinMart+,,Lý Thường Kiệt,convenience,16.0800368,108.2197427
Da Nang,WinMart+,,Đường Tôn Đức Thắng,convenience,16.0644372,108.1567631
Da Nang,WinMart+,,Phan Thanh,convenience,16.0598802,108.2092808
Da Nang,WinMart+,,Cao Thắng,convenience,16.0766541,108.2136152
