item_name,shop_name,city,address,price,material,category,lat,lon
None,convenience,Tuyên Quang,"Đường Trần Hưng Đạo, Phắc Nghè, Đầu Cầu, Xã Yên Minh, Tỉnh Tuyên Quang, Việt Nam",None,None,convenience,23.1202866,105.1367651
None,bicycle,Tuyên Quang,"Đường Trần Hưng Đạo, Phắc Nghè, Đầu Cầu, Xã Yên Minh, Tỉnh Tuyên Quang, Việt Nam",None,None,bicycle,23.1201966,105.1373699
None,convenience,Tuyên Quang,"Đường Trần Hưng Đạo, Phắc Nghè, Đầu Cầu, Xã Yên Minh, Tỉnh Tuyên Quang, Việt Nam",None,None,convenience,23.1209474,105.1356024
None,convenience,Tuyên Quang,"Đường Trần Hưng Đạo, Phắc Nghè, Đầu Cầu, Xã Yên Minh, Tỉnh Tuyên Quang, Việt Nam",None,None,convenience,23.1223131,105.1313146
None,convenience,Tuyên Quang,"Quốc lộ 2, Xã Vị Xuyên, Tỉnh Tuyên Quang, Việt Nam",None,None,convenience,22.7462821,104.990501
None,convenience,Tuyên Quang,"Quốc lộ 2, Xã Tân Quang, Tỉnh Tuyên Quang, Việt Nam",None,None,convenience,22.5279844,104.8886913
None,motorcycle_repair,Tuyên Quang,"Quốc lộ 2, Xã Vị Xuyên, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.7559746,104.9977244
None,convenience,Tuyên Quang,"Quốc lộ 2, Xã Vị Xuyên, Tỉnh Tuyên Quang, Việt Nam",None,None,convenience,22.736623,104.9861146
None,convenience,Tuyên Quang,"Quốc lộ 2, Xã Vị Xuyên, Tỉnh Tuyên Quang, Việt Nam",None,None,convenience,22.7354084,104.9843961
None,convenience,Tuyên Quang,"Đường Trần Hưng Đạo, Nông trường Việt Lâm, Xã Vị Xuyên, Tỉnh Tuyên Quang, Việt Nam",None,None,convenience,22.631581,104.9669566
None,convenience,Tuyên Quang,"Đường Trần Hưng Đạo, Nông trường Việt Lâm, Xã Vị Xuyên, Tỉnh Tuyên Quang, Việt Nam",None,None,convenience,22.6278303,104.9606104
