name,city,address,lat,lon,video_url,embed_url
GO! Hạ Long,Quang Ninh Province,"Cột 5, P. Hồng Hải, TP. Hạ Long, Việt Nam",20.9642,107.109,https://www.tiktok.com/@sieuthigo_halong/video/7560143286036368660,https://www.tiktok.com/embed/7560143286036368660
Chợ Hạ Long 1,Quang Ninh Province,"Đường Bạch Đằng, TP. Hạ Long, Việt Nam",20.9491,107.0794,https://www.tiktok.com/@voiminhonquangninh/video/7289031647343791368,https://www.tiktok.com/embed/7289031647343791368
Chợ Cái Dăm,Quang Ninh Province,"Đường Tiên Ông, P. Bãi Cháy, TP. Hạ Long, Việt Nam",20.9613,107.0366,https://www.tiktok.com/@nguyenmanhlinh8386/video/7517813779220991239,https://www.tiktok.com/embed/7517813779220991239
Chợ Đêm Hạ Long (Night Market),Quang Ninh Province,"Đại lộ Hạ Long Marine, P. Bãi Cháy, TP. Hạ Long, Việt Nam",20.9669,107.027,https://www.tiktok.com/@missyoulx/video/7391390203849575687,https://www.tiktok.com/embed/7391390203849575687
Vincom Plaza Móng Cái,Quang Ninh Province,"Đại Lộ Hoà Bình, P. Trần Phú, TP. Móng Cái, Việt Nam",21.5367,107.9692,https://www.tiktok.com/@sang.sky.2001/video/7471149258603826450,https://www.tiktok.com/embed/7471149258603826450
Chợ Trung Tâm Móng Cái,Quang Ninh Province,"Đường Trần Phú, TP. Móng Cái, Việt Nam",21.5323,107.9657,https://www.tiktok.com/@hangquangchaugiaremc/video/7317246388285230338,https://www.tiktok.com/embed/7317246388285230338
Chợ Cẩm Phả,Quang Ninh Province,"Đường Tô Hiệu, TP. Cẩm Phả, Việt Nam",21.0264,107.2803,https://www.tiktok.com/@chotruyenthong5.0/video/7407268633090477330,https://www.tiktok.com/embed/7407268633090477330
YODY Hạ Long,Quang Ninh Province,"288 Cao Thắng, TP. Hạ Long, Việt Nam",20.9605,107.1001,https://www.tiktok.com/@yodyofficial.studio/video/7579169424289123600,https://www.tiktok.com/embed/7579169424289123600
Hải Sản Ông Ba,Quang Ninh Province,"Khu phố cổ Sunworld, P. Bãi Cháy, TP. Hạ Long, Việt Nam",20.957,107.034,https://www.tiktok.com/@huybanca14/video/7562377344661359873,https://www.tiktok.com/embed/7562377344661359873
Aeon Mall Hải Phòng Lê Chân,Hai Duong Province,"10 Võ Nguyên Giáp, P. Kênh Dương, Q. Lê Chân, Hải Phòng, Việt Nam",20.8353,106.6696,https://www.tiktok.com/@aeonmallhaiphonglechan/video/7519357478614650130,https://www.tiktok.com/embed/7519357478614650130
Vincom Plaza Imperia,Hai Duong Province,"1 Bạch Đằng, P. Thượng Lý, Q. Hồng Bàng, Hải Phòng, Việt Nam",20.8653,106.6578,https://www.tiktok.com/@haiphongholic/video/7408842686364470546,https://www.tiktok.com/embed/7408842686364470546
GO! Hải Phòng,Hai Duong Province,"Lô 1/20 Khu đô thị mới Ngã Năm, Sân bay Cát Bi, Hải Phòng, Việt Nam",20.8576,106.6961,https://www.tiktok.com/@hoacaibay/video/7520608126358277383,https://www.tiktok.com/embed/7520608126358277383
Chợ Cát Bi,Hai Duong Province,"Đường Cát Bi, P. Thành Tô, Q. Hải An, Hải Phòng, Việt Nam",20.8306,106.7077,https://www.tiktok.com/@quankhonggo/video/7284938638251592961,https://www.tiktok.com/embed/7284938638251592961
Chợ Ga (Chợ Phú Thái),Hai Duong Province,"14 Phan Bội Châu, P. Quang Trung, Q. Hồng Bàng, Hải Phòng, Việt Nam",20.8596,106.6806,https://www.tiktok.com/@haiphonglocal/video/7334266053834329362,https://www.tiktok.com/embed/7334266053834329362
Chợ Đổ (Chợ Tam Bạc),Hai Duong Province,"Đường Phan Bội Châu, P. Phan Bội Châu, Q. Hồng Bàng, Hải Phòng, Việt Nam",20.8592,106.683,https://www.tiktok.com/@nguoicontraihaiphong/video/7455656601073077511,https://www.tiktok.com/embed/7455656601073077511
Chợ Núi Đèo,Hai Duong Province,"TT. Núi Đèo, H. Thủy Nguyên, Hải Phòng, Việt Nam",20.9328,106.6385,https://www.tiktok.com/@damdahaiphong/video/7566124241049963784,https://www.tiktok.com/embed/7566124241049963784
Mega Market Hồng Bàng,Hai Duong Province,"2A Hồng Bàng, P. Sở Dầu, Q. Hồng Bàng, Hải Phòng, Việt Nam",20.869,106.6433,https://www.tiktok.com/@lengoctoan2005/video/7249659073547783430,https://www.tiktok.com/embed/7249659073547783430
Phố đi bộ Thế Lữ (Chợ Đêm),Hai Duong Province,"Phố Thế Lữ, P. Hạ Lý, Q. Hồng Bàng, Hải Phòng, Việt Nam",20.863,106.678,https://www.tiktok.com/@haiphongtodaytv/video/7387058515828952327,https://www.tiktok.com/embed/7387058515828952327
YODY Hải Phòng,Hai Duong Province,"96 Nguyễn Đức Cảnh, P. An Biên, Q. Lê Chân, Hải Phòng, Việt Nam",20.856,106.685,https://www.tiktok.com/@dtm_203/video/7420757323838229778,https://www.tiktok.com/embed/7420757323838229778
Lotte Mart Vinh,Nghe An Province,"494 V.I. Lê Nin, P. Hà Huy Tập, TP. Vinh, Nghệ An, Việt Nam",18.6946,105.6796,https://www.tiktok.com/@ngheanreview37/video/7573306813114846471,https://www.tiktok.com/embed/7573306813114846471
Vincom Plaza Thái Phiên,Nghe An Province,"01 Quang Trung, P. Quang Trung, TP. Vinh, Nghệ An, Việt Nam",18.6744,105.6749,https://www.tiktok.com/@takundichoi/video/7372941480622624007,https://www.tiktok.com/embed/7372941480622624007
GO! Vinh (Big C cũ),Nghe An Province,"02 Quang Trung, P. Quang Trung, TP. Vinh, Nghệ An, Việt Nam",18.6765,105.676,https://www.tiktok.com/@lena_review/video/7441871696681766162,https://www.tiktok.com/embed/7441871696681766162
Chợ Vinh,Nghe An Province,"Đường Cao Thắng, P. Hồng Sơn, TP. Vinh, Nghệ An, Việt Nam",18.6702,105.6814,https://www.tiktok.com/@ngocanh_ancathegioi/video/7475763911887719688,https://www.tiktok.com/embed/7475763911887719688
Chợ Ga Vinh,Nghe An Province,"1 Phan Bội Châu, P. Lê Lợi, TP. Vinh, Nghệ An, Việt Nam",18.6811,105.6702,https://www.tiktok.com/@anhemxitxit/video/7300539271256100103,https://www.tiktok.com/embed/7300539271256100103
Chợ Hải Sản Cửa Lò,Nghe An Province,"Đường Nguyễn Xí, P. Thu Thủy, TX. Cửa Lò, Nghệ An, Việt Nam",18.799,105.73,https://www.tiktok.com/@lacacualo/video/7390521527470509319,https://www.tiktok.com/embed/7390521527470509319
Phố đi bộ TP Vinh,Nghe An Province,"Đường Hồ Tùng Mậu, P. Trường Thi, TP. Vinh, Nghệ An, Việt Nam",18.667,105.673,https://www.tiktok.com/@yencherry.1708/video/7518763983856291079,https://www.tiktok.com/embed/7518763983856291079
Trung tâm giải trí VRC,Nghe An Province,"01 Phan Bội Châu, P. Lê Lợi, TP. Vinh, Nghệ An, Việt Nam",18.681,105.669,https://www.tiktok.com/@ngheanreview37/video/7260068078954745095,https://www.tiktok.com/embed/7260068078954745095
YODY Nguyễn Văn Cừ,Nghe An Province,"110 Nguyễn Văn Cừ, P. Hưng Bình, TP. Vinh, Nghệ An, Việt Nam",18.683,105.674,https://www.tiktok.com/@npthao9x/video/7571055157476199700,https://www.tiktok.com/embed/7571055157476199700
Elise Nghệ An,Nghe An Province,"226 Nguyễn Văn Cừ, P. Hưng Phúc, TP. Vinh, Nghệ An, Việt Nam",18.684,105.675,https://www.tiktok.com/@choufleur16/video/7484461574204214546,https://www.tiktok.com/embed/7484461574204214546
Chợ Phố Hiến,Hung Yen Province,"Đường Điện Biên Phủ, P. Quang Trung, TP. Hưng Yên, Việt Nam",20.6462,106.0515,https://www.tiktok.com/@baothanhnien.official/video/7360559710174547216,https://www.tiktok.com/embed/7360559710174547216
Khu đô thị Ecopark (Phố Trúc),Hung Yen Province,"Xã Xuân Quan, H. Văn Giang, Hưng Yên, Việt Nam",20.963,105.922,https://www.tiktok.com/@eggyolkcoffee_/video/7362131533249006849,https://www.tiktok.com/embed/7362131533249006849
Chợ Bao Bì,Hung Yen Province,"Phố Nối, P. Bần Yên Nhân, TX. Mỹ Hào, Hưng Yên, Việt Nam",20.9275,106.062,https://www.tiktok.com/@baothanhnien.official/video/7365868850866425104,https://www.tiktok.com/embed/7365868850866425104
TTTM Như Quỳnh Center,Hung Yen Province,"TT. Như Quỳnh, H. Văn Lâm, Hưng Yên, Việt Nam",20.992,105.975,https://www.tiktok.com/@aluxuongpho85/video/7195890766693125402,https://www.tiktok.com/embed/7195890766693125402
Chợ Gạo,Hung Yen Province,"Đường Trưng Trắc, P. Minh Khai, TP. Hưng Yên, Việt Nam",20.655,106.052,https://www.tiktok.com/@reviewhungyenbynhun/video/7499776324307930386,https://www.tiktok.com/embed/7499776324307930386
Chợ Nôm (Chợ cổ),Hung Yen Province,"Làng Nôm, Xã Đại Đồng, H. Văn Lâm, Hưng Yên, Việt Nam",20.945,106.002,https://www.tiktok.com/@reviewhungyenbynhun/video/7532108257066831122,https://www.tiktok.com/embed/7532108257066831122
YODY Hưng Yên,Hung Yen Province,"535 Nguyễn Văn Linh, P. An Tảo, TP. Hưng Yên, Việt Nam",20.665,106.05,https://www.tiktok.com/@thuhien_189/video/7578724480604818709,https://www.tiktok.com/embed/7578724480604818709
Làng nghề Tương Bần (Các cửa hàng),Hung Yen Province,"QL5, TT. Bần Yên Nhân, TX. Mỹ Hào, Hưng Yên, Việt Nam",20.925,106.06,https://www.tiktok.com/@tng.bn.v.ngon.di/video/7558708676303932690,https://www.tiktok.com/embed/7558708676303932690
Chợ Đầu Mối Đông Tảo (Gà Đông Tảo),Hung Yen Province,"Xã Đông Tảo, H. Khoái Châu, Hưng Yên, Việt Nam",20.82,105.98,https://www.tiktok.com/@hongtien_khoaichau89/video/7548751239434046728,https://www.tiktok.com/embed/7548751239434046728
TokyoLife Hưng Yên,Hung Yen Province,"398 Nguyễn Văn Linh, P. An Tảo, TP. Hưng Yên, Việt Nam",20.661,106.053,https://www.tiktok.com/@tokyolife.channel/video/7556908109902433554,https://www.tiktok.com/embed/7556908109902433554
GO! Nam Định (Big C cũ),Nam Dinh Province,"Xã Lộc Hòa, TP. Nam Định, Nam Định, Việt Nam",20.4425,106.152,https://www.tiktok.com/@zzzz16182022/video/7464164123857767696,https://www.tiktok.com/embed/7464164123857767696
Nam Định Tower (Micom Plaza),Nam Dinh Province,"91 Điện Biên, P. Cửa Bắc, TP. Nam Định, Nam Định, Việt Nam",20.4332,106.1785,https://www.tiktok.com/@khaica3396/video/7153675490056736027,https://www.tiktok.com/embed/7153675490056736027
Chợ Rồng Nam Định,Nam Dinh Province,"301 Trần Hưng Đạo, P. Bà Triệu, TP. Nam Định, Nam Định, Việt Nam",20.4235,106.173,https://www.tiktok.com/@emhanhnamdinh/video/7574406471098600724,https://www.tiktok.com/embed/7574406471098600724
Chợ Viềng (Chợ Cầu May),Nam Dinh Province,"Xã Kim Thái, H. Vụ Bản, Nam Định, Việt Nam",20.38,106.1,https://www.tiktok.com/@toque2711/video/7467634715147783442,https://www.tiktok.com/embed/7467634715147783442
Chợ Đêm Nam Định,Nam Dinh Province,"Khu vực Hồ Vị Xuyên, TP. Nam Định, Nam Định, Việt Nam",20.428,106.175,https://www.tiktok.com/@cogainamdinh/video/7428961024637930759,https://www.tiktok.com/embed/7428961024637930759
YODY Nam Định,Nam Dinh Province,"168 Quang Trung, P. Quang Trung, TP. Nam Định, Nam Định, Việt Nam",20.429,106.171,https://www.tiktok.com/@yodynamdinh1/video/7421939080545488146,https://www.tiktok.com/embed/7421939080545488146
IVY moda Nam Định,Nam Dinh Province,"155 Quang Trung, P. Quang Trung, TP. Nam Định, Nam Định, Việt Nam",20.4285,106.17,https://www.tiktok.com/@linhlev1608/video/7483884909786877191,https://www.tiktok.com/embed/7483884909786877191
Nem Nắm Giao Thủy (Đặc sản),Nam Dinh Province,"Giao Thủy, Nam Định (Bán phổ biến toàn TP), Việt Nam",20.25,106.4,https://www.tiktok.com/@nem.giao.thu.ng.t/video/7513457932629970184,https://www.tiktok.com/embed/7513457932629970184
Savani Nam Định,Nam Dinh Province,"Lô 10-11 Đông A, Khu Đô Thị Hòa Vượng, TP. Nam Định, Việt Nam",20.44,106.16,https://www.tiktok.com/@nashopnd123/video/7504261802889317640,https://www.tiktok.com/embed/7504261802889317640
CoopMart Nam Dinh,Nam Dinh Province,"91 Điện Biên (Tòa nhà Nam Định Tower), TP. Nam Định, Việt Nam",20.4332,106.1785,https://www.tiktok.com/@hanngoc3327/video/7580991454349151508,https://www.tiktok.com/embed/7580991454349151508

